OWNERCITYCODE,RECEIVETIME,GENDER,BDATE,RELATION,OTHERNOTFAMILYMEMBER,OCCURPLACE,OTHEROCCURPLACE,OCCURCITY,OCCURTOWN
6500000000,20190321085300,F,093,E,,A,,6500000000,6500800000
6500000000,20190321085400,M,092,E,,A,,6500000000,6500800000
1000400000,20190321090700,F,092,,,A,,1000400000,1000402000
6400000000,20190321091400,M,089,,,G,,6400000000,6402000000
1000800000,20190321094600,M,089,,,Z,,,
1000500000,20190321100200,F,095,,,X,,1000500000,1000505000
6300000000,20190321111300,M,085,,,C,,6300000000,6300200000
1001900000,20190321115300,F,092,,,A,,6600000000,6600800000
1002100000,20190321115700,F,090,Q,,H,,6700000000,6703500000
1002100000,20190321131100,F,086,Y,,Z,,6700000000,
1000300000,20190321131900,M,095,,,Z,,1000300000,1000302000
1002100000,20190321133000,M,095,Q,,C,,6400000000,6403000000
6500000000,20190321134800,F,092,,,H,,,
6500000000,20190321141200,F,091,,,X,,6500000000,
1000900000,20190321144900,F,087,E,,A,,,
6300000000,20190321145700,F,,,,X,,,
1001900000,20190321153400,F,092,,,X,,6600000000,6601600000
1001900000,20190321153400,F,091,,,A,,6600000000,6602800000
6500000000,20190321161000,F,098,,,X,,,
6300000000,20190321163700,M,090,,,D,,6300000000,6300200000
1001500000,20190322093700,M,068,,,I,,1001500000,1001501000
1001300000,20190322094400,M,097,,,A,,1001300000,1001306000
6500000000,20190322095000,F,089,W,,A,,6500000000,6500100000
1001300000,20190322095900,M,098,,,C,,1001300000,1001306000
1000900000,20190322101200,F,066,,,A,,1000900000,1000901000
1001300000,20190322102000,F,083,,,A,,6400000000,6401200000
1000300000,20190322103200,F,092,X,,Z,,1000300000,1000301000
1000200000,20190322114000,M,092,,,D,,1000200000,1000210000
6500000000,20190322115700,F,070,R,,J,,6300000000,
6500000000,20190322122400,F,101,V,,F,,6500000000,6500100000
1000400000,20190322124700,F,106,,,Z,,1000400000,1000406000
1000300000,20190322131900,F,094,,,A,,1000300000,1000304000
1001300000,20190322133900,M,087,,,A,,1001300000,1001301000
6400000000,20190322142600,F,089,Q,,A,,6400000000,6401200000
1000700000,20190322144600,M,093,Q,,G,,1000700000,1000723000
6300000000,20190322151100,F,101,,,D,,6300000000,6301100000
6500000000,20190322153100,F,093,Q,,A,,6500000000,
1000900000,20190322154200,F,101,,,X,,,
1001900000,20190322154300,M,095,,,Z,,,
1001900000,20190322154300,F,092,,,A,,6600000000,6601700000
6300000000,20190322162500,F,094,,,X,,6300000000,6300300000
6500000000,20190322164800,F,087,,,A,,6500000000,6501300000
1000900000,20190322170800,F,100,,,A,,1000900000,
6300000000,20190322174500,F,091,,,A,,6500000000,
1000200000,20190322180600,F,093,E,,A,,,
6300000000,20190323005600,F,075,Q,,A,,6500000000,6501300000
6300000000,20190324213900,F,094,E,,X,,6300000000,6300500000
6300000000,20190325010300,F,079,,,X,,6300000000,6300900000
6300000000,20190325035100,M,093,Y,,A,,6300000000,
1002100000,20190325080500,F,093,,,K,,6700000000,6700700000
6300000000,20190321164100,M,089,,,D,,6300000000,6300200000
6300000000,20190321164100,M,101,,,D,,6300000000,6301100000
6300000000,20190321164200,F,100,,,D,,6300000000,6301100000
0902000000,20190321164600,X,093,,,A,,,
6500000000,20190321164600,F,084,Y,,H,,6600000000,
6300000000,20190321164600,F,100,,,D,,6300000000,6301100000
6400000000,20190321165400,F,090,,,A,,,
6500000000,20190321171400,M,093,,,A,,,
1000500000,20190321192400,F,102,X,,D,,1000500000,1000512000
1002100000,20190322070400,F,091,Q,,A,,6700000000,6700200000
1000300000,20190322080300,F,092,,,C,,1000300000,1000310000
1000300000,20190322080400,F,085,,,A,,1000300000,1000302000
1001900000,20190322084200,M,099,,,X,,6600000000,6602700000
0902000000,20190322084200,F,081,Q,,Z,,0902000000,0902004000
1001300000,20190322084400,M,094,E,,A,,1001300000,1001324000
6400000000,20190319085300,F,101,F,,A,,6400000000,6400800000
6500000000,20190319090100,F,083,Y,,A,,6500000000,6500500000
6500000000,20190319090700,F,078,,,A,,,
6400000000,20190319091400,F,068,R,,H,,6400000000,
6500000000,20190319091700,F,093,,,A,,6500000000,6500800000
6500000000,20190319093700,F,095,F,,A,,6500000000,6500400000
6400000000,20190319094200,F,093,W,,H,,6700000000,6701900000
1002100000,20190319094500,F,088,Y,,A,,6700000000,6703400000
1000400000,20190319094500,M,093,,,X,,1000400000,1000407000
6400000000,20190319095700,M,092,Q,,A,,6400000000,6400400000
1001500000,20190319100200,F,070,,,A,,1001500000,1001511000
1001900000,20190319111400,F,092,,,A,,,
6300000000,20190319121700,F,083,,,X,,,
6400000000,20190319133300,F,092,E,,X,,6400000000,6400200000
6500000000,20190319134400,F,094,Y,,A,,6500000000,6500400000
6400000000,20190319134500,M,093,Q,,D,,6400000000,6403200000
