OWNERCITYCODE,RECEIVETIME,GENDER,BDATE,RELATION,OTHERNOTFAMILYMEMBER,OCCURPLACE,OTHEROCCURPLACE,OCCURCITY,OCCURTOWN
1000300000,20210406065100,F,094,g,,C,,,
1000300000,20210406065200,F,092,W,,H,,1000300000,1000309000
1000300000,20210406065500,F,103,Z,,A,,1000300000,1000302000
1001000000,20210406080800,F,080,s,,Z,,1001000000,1001008000
1001000000,20210406081600,F,091,W,,C,,1002000000,1002001000
6500000000,20210406081900,F,094,f,,A,,6500000000,6500700000
6500000000,20210406082200,M,095,f,,A,,6500000000,6500700000
1001300000,20210406082600,F,073,X,,A,,1001300000,1001301000
1001300000,20210406082700,M,097,X,,D,,1001300000,1001301000
1001300000,20210406082700,F,094,W,,Z,,1001300000,1001306000
1001300000,20210406082800,M,095,g,,A,,1001300000,1001309000
1001300000,20210406082800,F,094,g,,A,,,
6500000000,20210406084100,M,089,n,,A,,6500000000,6501000000
6500000000,20210406084400,F,087,W,,A,,6300000000,6300300000
6500000000,20210406084500,F,092,r,,H,,6500000000,6501100000
1002100000,20210406084600,F,099,H,,A,,6700000000,6703100000
1002100000,20210406084700,F,097,W,,A,,6700000000,6702000000
1000700000,20210406085200,F,096,Y,,D,,1000700000,1000721000
6500000000,20210406085400,F,073,p,,A,,6500000000,6500500000
6500000000,20210406085600,M,076,X,,Z,,6500000000,6501300000
1001700000,20210406085700,F,096,f,,A,,1001700000,1001706000
6400000000,20210406085800,F,096,g,,A,,6400000000,6401500000
1001700000,20210406085900,F,095,p,,X,,1001700000,1001706000
1001900000,20210406090200,F,094,c,,A,,6600000000,6602800000
1001900000,20210406090200,F,094,f,,H,,6600000000,6602600000
1001800000,20210406091000,F,086,p,,A,,1001800000,1001802000
0902000000,20210406091200,F,095,o,,X,,,
6500000000,20210406091500,F,096,g,,H,,1001700000,1001704000
1002100000,20210406091800,F,088,d,,A,,1000500000,
1002100000,20210406091800,F,093,Y,,Z,,6700000000,6701000000
1002100000,20210406091900,F,087,f,,A,,6700000000,6703200000
6400000000,20210406092700,F,071,f,,A,,6400000000,6400900000
1000700000,20210406093500,F,083,W,,H,,6300000000,6301200000
6500000000,20210406094400,F,079,X,,H,,6500000000,6500300000
1000300000,20210406094600,M,105,F,,X,,1000300000,1000305000
1002100000,20210406094800,M,094,W,,A,,,
6400000000,20210406095600,F,088,W,,A,,6400000000,6400900000
6400000000,20210406100600,F,095,g,,A,,6400000000,6402000000
6300000000,20210406100700,F,095,f,,C,,6300000000,
1001500000,20210406101100,F,094,g,,A,,1001500000,1001501000
6500000000,20210406102000,F,081,Y,,B,,6300000000,6300200000
1000700000,20210406102100,F,095,g,,H,,1000700000,1000701000
1000300000,20210406102500,F,095,F,,A,,1000300000,1000307000
6500000000,20210406102600,F,097,o,,A,,,
6400000000,20210406103200,F,099,n,,D,,6400000000,6401200000
6300000000,20210406103700,M,076,W,,H,,6500000000,6500500000
1001800000,20210406112600,F,083,t,,H,,1001800000,1001803000
1001900000,20210406133200,F,093,g,,A,,6400000000,6400600000
1001900000,20210406133200,F,080,f,,A,,6600000000,6600500000
6400000000,20210406135700,F,094,H,,A,,6400000000,6402600000
1001300000,20210406140700,F,102,F,,A,,1001300000,1001318000
1001900000,20210406151500,F,094,g,,C,,,
1001900000,20210406151500,F,095,W,,C,,6600000000,
1001900000,20210406151500,F,092,n,,A,,6600000000,6600500000
6400000000,20210406152600,F,098,K,,X,,6400000000,6401800000
1001800000,20210406152700,F,095,g,,Z,,1001800000,1001802000
1001500000,20210406155100,M,096,g,,A,,1001500000,1001511000
1001500000,20210406155100,F,096,g,,X,,1001500000,1001511000
1001500000,20210406165200,F,082,n,,A,,1001500000,1001507000
1001500000,20210406165700,F,088,f,,Z,,,
6400000000,20210406165700,M,095,o,,A,,6400000000,6401200000
1001500000,20210406171000,F,102,Z,,X,,1001500000,1001513000
6400000000,20210406171800,F,096,g,,C,,,
1000300000,20210407081100,F,078,W,,H,,1000300000,1000301000
1000300000,20210407081100,F,069,X,,A,,1000300000,1000308000
1000300000,20210407081500,F,094,g,,Z,,1000300000,
1000300000,20210407081600,M,085,n,,A,,1000300000,1000302000
1000300000,20210407082000,F,094,g,,D,,1000300000,1000301000
1001000000,20210407083700,F,095,g,,A,,,
6500000000,20210407083800,F,050,n,,A,,1001700000,1001702000
6300000000,20210407085000,F,096,g,,A,,6300000000,6300100000
1001300000,20210407085100,F,065,B,,A,,1001300000,1001301000
1001900000,20210407090500,F,096,o,,D,,6600000000,
6300000000,20210407090800,F,094,Z,,A,,,
6300000000,20210407092800,F,092,o,,D,,6300000000,6300100000
1000900000,20210407094500,F,058,r,,Z,,1000900000,1000913000
6400000000,20210407111900,F,095,p,,J,,6400000000,
1001900000,20210407112600,F,101,c,,X,,6600000000,6601400000
6400000000,20210407113200,F,095,f,,A,,6400000000,
1002100000,20210407115000,F,093,f,,Z,,6700000000,6703400000
6300000000,20210407123700,F,081,n,,A,,,
1000700000,20210407130400,F,049,k,,K,,1000700000,1000718000
1001900000,20210407131300,F,104,F,,X,,1000800000,1000804000
1001600000,20210407135900,F,094,n,,A,,1001600000,1001601000
1002000000,20210407142700,F,094,g,,H,,,
1000900000,20210407150100,F,092,W,,Z,,1001000000,1001001000
1000500000,20210407150900,F,096,g,,A,,,
1001800000,20210407160200,M,097,o,,Z,,1001800000,1001803000
1002100000,20210407160500,F,094,g,,A,,6700000000,6703100000
6500000000,20210407161300,F,097,Z,,X,,6500000000,6500500000
6500000000,20210407162200,F,103,H,,Z,,6500000000,6500100000
1001800000,20210407162700,M,097,n,,C,,1001800000,1001803000
6500000000,20210407163300,F,069,r,,B,,6500000000,6500500000
6500000000,20210407164200,M,097,g,,C,,6500000000,6500200000
6500000000,20210407165600,M,092,F,,A,,,
6400000000,20210407171000,F,094,f,,A,,6400000000,
6500000000,20210407173000,F,097,f,,A,,6500000000,6500200000
1000300000,20210408081200,F,096,f,,J,,1000300000,1000308000
1000300000,20210408081500,M,099,o,,D,,1000300000,1000312000
1000300000,20210408081800,F,095,g,,A,,,
1000300000,20210408081900,F,089,Y,,Z,,1000300000,1000302000
1002100000,20210408084000,M,094,g,,A,,,
6500000000,20210408084100,F,087,t,,A,,6300000000,6300200000
6500000000,20210408084100,F,092,f,,H,,6500000000,6501100000
1002100000,20210408084900,F,064,s,,Z,,,
1001900000,20210408090000,F,089,d,,A,,1001400000,1001401000
1002100000,20210408092300,F,088,W,,A,,6700000000,6703200000
6300000000,20210408103900,M,098,m,,K,,6300000000,6300800000
1000500000,20210408104700,F,092,f,,A,,,
1000800000,20210408105500,F,082,n,,A,,1000800000,1000802000
6400000000,20210408110800,F,094,g,,D,,6400000000,
1000200000,20210408112500,F,095,Y,,H,,1000200000,1000201000
1001800000,20210408113900,F,095,f,,A,,,
6400000000,20210408115000,F,086,t,,C,,6400000000,6400300000
1001000000,20210408130000,M,095,g,,A,,1000800000,1000807000
1000500000,20210408134100,F,097,g,,A,,1000500000,1000505000
6400000000,20210408134300,F,094,f,,A,,6400000000,6402100000
6300000000,20210408134600,F,091,p,,A,,6300000000,6300200000
1000700000,20210408134600,F,095,K,,X,,1000700000,1000712000
1000900000,20210408135000,F,096,g,,D,,1000900000,1000913000
1000900000,20210408135600,M,095,g,,D,,1000900000,1000913000
6500000000,20210408140100,F,096,f,,A,,6500000000,6500800000
1001300000,20210408141100,F,048,X,,A,,1001300000,1001316000
1001800000,20210408141600,M,095,f,,A,,1001800000,1001801000
6500000000,20210408150200,F,095,g,,A,,6500000000,
1002100000,20210408150200,M,093,W,,C,,6700000000,
1001900000,20210408154800,F,096,g,,A,,6600000000,6601600000
6400000000,20210408155600,M,094,g,,A,,6400000000,
6500000000,20210408160000,F,096,F,,A,,6500000000,6500500000
1001900000,20210408160800,F,092,W,,C,,6600000000,
1001800000,20210408161100,F,095,Z,,X,,1001800000,1001802000
1001900000,20210408161800,M,096,g,,A,,6600000000,6601600000
6400000000,20210408162200,M,096,g,,D,,6400000000,6400500000
1001900000,20210408162200,M,087,b,,A,,6500000000,6502100000
6500000000,20210408162600,F,064,b,,A,,,
1002100000,20210408162700,F,097,F,,X,,1000300000,1000309000
6500000000,20210408164500,M,094,g,,A,,,
6500000000,20210408165200,F,094,g,,A,,6500000000,6501700000
1000700000,20210408172300,F,094,W,,A,,1000700000,1000726000
1000700000,20210408172400,M,097,o,,H,,1001300000,1001304000
1001800000,20210408221000,F,090,c,,A,,1001500000,1001505000
1000300000,20210409081500,F,070,f,,A,,1000300000,1000301000
1000300000,20210409082400,F,092,o,,Z,,1001800000,
0902000000,20210409082500,F,095,g,,C,,0902000000,0902001000
1000300000,20210409082600,M,094,g,,A,,1000300000,1000302000
1000300000,20210409082700,F,097,g,,A,,1000300000,1000302000
1002000000,20210409083000,F,073,r,,B,,1002000000,1002001000
1000300000,20210409083100,M,094,g,,A,,1000300000,1000302000
1000300000,20210409083100,F,086,E,,Z,,,
1000300000,20210409083200,F,095,g,,A,,1000300000,1000302000
1002100000,20210409083200,F,093,c,,A,,6700000000,
6400000000,20210409083500,F,095,W,,C,,6400000000,
6500000000,20210409084200,M,105,S,,Z,,6500000000,6501600000
1002100000,20210409084400,F,097,W,,C,,6700000000,6703300000
6400000000,20210409084900,F,056,n,,A,,6400000000,6400100000
6500000000,20210409085100,F,092,W,,A,,6500000000,6500600000
1001300000,20210409085300,M,095,o,,D,,1001300000,1001323000
1001300000,20210409085300,F,095,f,,A,,6500000000,6501300000
1001800000,20210409090100,M,097,Z,,A,,1001800000,1001802000
1000300000,20210409090100,F,082,t,,H,,1000300000,1000301000
1000300000,20210409090200,F,103,o,,D,,1000300000,1000302000
6500000000,20210409091100,F,088,W,,A,,6300000000,
1000700000,20210409091600,F,084,n,,H,,,
1002100000,20210409101600,F,076,n,,A,,6700000000,6700700000
1000500000,20210409102700,M,096,g,,A,,1000500000,1000505000
6500000000,20210409103500,M,094,g,,A,,6500000000,6500500000
1000700000,20210409110200,F,089,X,,C,,1000700000,1000703000
1001900000,20210409110200,F,005,W,,A,,6600000000,
1000800000,20210409110800,F,069,q,,Z,,1000800000,1000803000
6500000000,20210409112400,F,095,f,,A,,,
1001000000,20210409130300,F,090,o,,D,,1002000000,1002001000
1000400000,20210409135500,F,095,o,,A,,1000400000,1000405000
6500000000,20210409135800,F,098,c,,A,,6500000000,6500400000
1000200000,20210409141500,F,096,g,,A,,1000200000,1000212000
6300000000,20210409142900,F,094,f,,D,,,
1001600000,20210409143600,M,075,Y,,Z,,1001600000,1001601000
1002100000,20210409143900,F,092,Z,,X,,6700000000,6700700000
1000200000,20210409145600,F,,f,,A,,1000400000,1000412000
1000700000,20210409150200,F,094,n,,A,,1000700000,1000720000
1002000000,20210409150500,F,099,X,,A,,1002000000,1002002000
1001500000,20210409152500,M,104,c,,X,,,
6400000000,20210409152600,F,095,W,,A,,6400000000,6400300000
6500000000,20210409155300,F,099,c,,A,,6500000000,6500600000
6500000000,20210409160300,F,062,n,,A,,6500000000,6501100000
1000700000,20210409161100,M,095,n,,A,,1000700000,1000707000
1000700000,20210409161200,M,095,f,,A,,1000700000,1000707000
1000700000,20210409161600,F,097,o,,A,,1000700000,1000707000
1001800000,20210409165000,F,094,H,,A,,1001800000,1001802000
6500000000,20210409165800,F,093,Y,,A,,,
6500000000,20210409170200,M,095,f,,A,,,
6500000000,20210409173000,F,089,W,,H,,6500000000,6500200000
1000900000,20210409173100,F,097,g,,C,,1000900000,1000902000
6300000000,20210409201200,F,096,g,,A,,1000300000,1000304000
6300000000,20210410005100,F,094,F,,X,,6300000000,6300500000
6300000000,20210411074300,F,094,W,,A,,,
6300000000,20210411155500,F,092,o,,D,,6300000000,6300800000
6300000000,20210411181500,F,090,W,,A,,6300000000,6300400000
6300000000,20210411193800,F,097,f,,A,,,
1000300000,20210412081500,M,093,g,,A,,1000300000,1000301000
1000300000,20210412081600,F,098,g,,A,,1000300000,1000302000
1000300000,20210412081700,F,093,f,,A,,,
1000300000,20210412081700,F,100,X,,C,,1000300000,1000312000
1000300000,20210412081700,F,098,g,,D,,1000300000,1000310000
1001900000,20210412082100,F,094,g,,A,,6600000000,6600800000
1001000000,20210412082600,F,080,n,,A,,1001000000,1001001000
1000300000,20210412082700,F,096,W,,Z,,1000300000,1000302000
1000300000,20210412082700,F,057,p,,A,,6500000000,6500600000
1000900000,20210412082700,M,096,g,,C,,1000900000,1000902000
1001900000,20210412083000,F,094,g,,A,,6600000000,6602800000
1000400000,20210412083200,F,101,c,,A,,1000400000,1000401000
1000400000,20210412083500,M,095,f,,A,,1000400000,1000412000
6300000000,20210412084200,F,088,t,,J,,6300000000,6300400000
6500000000,20210412084900,M,094,g,,A,,,
6500000000,20210412085200,F,071,n,,H,,6600000000,6601800000
1000200000,20210412085800,F,084,X,,B,,1000200000,1000201000
6400000000,20210412085900,F,094,K,,A,,6400000000,6400800000
6500000000,20210412090200,F,086,n,,A,,6300000000,6301000000
6500000000,20210412090400,F,100,V,,D,,1001700000,1001705000
6500000000,20210412090500,F,075,r,,A,,6500000000,6500700000
6500000000,20210412091000,F,073,t,,Z,,6500000000,6500200000
6400000000,20210412091800,F,072,p,,Z,,6400000000,
1001900000,20210412092000,F,095,g,,A,,6600000000,6600500000
6400000000,20210412092600,F,097,g,,A,,6400000000,6400300000
1001300000,20210412092800,F,091,d,,X,,1001300000,1001311000
1001300000,20210412092800,M,096,f,,A,,1001300000,
1002100000,20210412093800,F,094,g,,A,,6700000000,6703100000
1001300000,20210412094100,F,097,g,,A,,1001300000,1001301000
1001300000,20210412094200,F,091,X,,C,,1001300000,1001301000
1001300000,20210412094300,M,101,X,,C,,1001300000,1001301000
6400000000,20210412101600,M,093,f,,A,,6400000000,6402100000
1001900000,20210412101700,F,064,r,,C,,6600000000,6601400000
1000700000,20210412102100,F,067,t,,B,,1000700000,1000710000
1000800000,20210412102300,M,094,f,,A,,1000800000,
6400000000,20210412103300,F,076,A,,A,,6400000000,6400500000
